transaction_id,type,user_id,amount,date,category,description,payment_method
TestUser1,income,999,3000.0,2024-06-01,other,June Salary,credit
TestUser2,expense,999,50.0,2024-06-15,food,Grocery shopping,cash
TestUser3,expense,999,100.0,2024-06-20,transport,Gas for car,debit
TestUser4,income,999,500.0,2024-07-05,other,Freelance project payment,credit
TestUser5,expense,999,200.0,2024-07-10,entertainment,Concert tickets,credit
TestUser6,expense,999,200.0,2024-07-18,food,Restaurant dinner with friends,debit
TestUser7,expense,999,150.0,2024-08-03,transport,Uber rides,credit
TestUser8,expense,999,200.0,2024-08-12,entertainment,Movie streaming subscriptions,debit
TestUser9,income,999,4000.0,2024-09-01,other,September Salary + Bonus,credit
TestUser10,expense,999,300.0,2024-09-08,food,Weekly groceries,cash
TestUser11,expense,999,500.0,2024-09-15,other,New laptop accessories,credit
TestUser12,expense,999,1200.0,2024-10-01,other,Monthly rent payment,debit
TestUser13,expense,999,600.0,2024-10-10,transport,Car insurance,credit
TestUser14,expense,999,1500.0,2025-10-15,entertainment,Weekend trip to beach resort,credit
TestUser15,expense,999,450.0,2025-10-20,other,Utilities and internet bill,debit
TestUserRec1,income,999,5000.0,2024-11-01,transport,Monthly rent payment,cash
TestUserRec2,expense,999,150.0,2024-10-28,food,Weekly groceries,cash
TestUserRec3,income,999,3000.0,2024-11-01,other,Monthly salary,credit
TestUserRec4,expense,999,50.0,2024-10-15,entertainment,Streaming service subscription,credit
